name;price;url;page
Диван модульный Этен 4 Vertical Light;203 920;https://www.divan.ru/product/modulnyj-divan-eten-4-vertical-light;3
Диван угловой Аллаум Linia Navy Blue;54 990;https://www.divan.ru/product/divan-uglovoj-allaum-linia-navy-blue;3
Диван прямой Марей Soft Grey;94 990;https://www.divan.ru/product/divan-marej-soft-grey;3
Кресло Пайпел-2 Bucle Yellow;40 990;https://www.divan.ru/product/kreslo-pajpel-2-bucle-yellow;3
Диван прямой Мелоу Bucle Shadow;69 990;https://www.divan.ru/product/divan-pryamoj-melou-bucle-shadow;3
Диван прямой Коренс Happy Emerald;30 990;https://www.divan.ru/product/divan-korens-happy-emerald;3
Диван прямой Нумо Velvet Grafit;38 990;https://www.divan.ru/product/divan-numo-velvet-grafit;3
Диван прямой Риен Velvet Terra;58 990;https://www.divan.ru/product/divan-rien-velvet-terra;3
Диван модульный Этен 3 Vertical Silver;140 940;https://www.divan.ru/product/modulnyj-divan-eten-3-vertical-silver;3
Диван модульный Этен 3 Vertical Mix;140 940;https://www.divan.ru/product/modulnyj-divan-eten-3-vertical-mix-old-2022-04-25-light;3
Диван прямой Сваут Velvet Grey;66 990;https://www.divan.ru/product/divan-svaut-velvet-grey;3
Диван прямой Лави Velvet Pink;44 990;https://www.divan.ru/product/divan-lavi-velvet-pink;3
Диван прямой Мелоу Velvet Eclipse;54 990;https://www.divan.ru/product/divan-pryamoj-melou-velvet-eclipse;3
Диван прямой Бруквиль Velvet Smoke;53 990;https://www.divan.ru/product/divan-brukvil-velvet-smoke;3
Диван прямой Коренс Happy Light;30 990;https://www.divan.ru/product/divan-korens-happy-light;3
Диван прямой Види Textile Ocean;25 990;https://www.divan.ru/product/divan-vidi-textile-ocean;3
Кресло Гета Soft Silver;36 990;https://www.divan.ru/product/kreslo-geta-soft-silver;3
Диван модульный Этен 6 Vertical Silver;82 960;https://www.divan.ru/product/modulnyj-divan-eten-6-vertical-silver;3
Диван угловой Нумо Velvet Yellow;49 990;https://www.divan.ru/product/divan-uglovoj-numo-velvet-yellow;3
Диван прямой Мелоу Velvet Pink;54 990;https://www.divan.ru/product/divan-pryamoj-melou-velvet-pink;3
Диван прямой Сваут Velvet Mustard;66 990;https://www.divan.ru/product/divan-svaut-velvet-mustard;3
Кресло-кровать Кейсес Velvet Navy Blue;22 990;https://www.divan.ru/product/kreslo-krovat-kejses-velvet-navy-blue;3
Кресло Рибс Velvet Beige;29 990;https://www.divan.ru/product/kreslo-ribs-velvet-beige;3
Пуф Кропс Bucle Smoky;8990;https://www.divan.ru/product/puf-krops-bucle-smoky;4
Диван прямой Пайпел Bucle Blue;58 990;https://www.divan.ru/product/divan-pajpel-bucle-blue;4
Диван прямой Виена Bucle Beige;94 990;https://www.divan.ru/product/divan-viena-bucle-beige;4
Пуф Лонди Cozy Beige;12 990;https://www.divan.ru/product/puf-londi-cozy-beige;4
Диван угловой Мейлон Velvet Eclipse;56 990;https://www.divan.ru/product/divan-uglovoj-mejlon-velvet-eclipse;4
Диван прямой Мелоу Velvet Smoke;54 990;https://www.divan.ru/product/divan-pryamoj-melou-velvet-smoke;4
Кресло Винси Soft Olive;17 990;https://www.divan.ru/product/kreslo-vinsi-soft-olive;4
Диван модульный Сэндж 2 Textile Ocean;68 970;https://www.divan.ru/product/modulnyj-divan-sendj-2-textile-ocean;4
Диван модульный Brera-5 Bucle Beige;161 980;https://www.divan.ru/product/modulnyj-divan-brera-5-bucle-beige;4
Диван угловой Виена Bucle Beige;98 990;https://www.divan.ru/product/divan-uglovoj-viena-bucle-beige;4
Пуф Бане Cozy Ginger;9990;https://www.divan.ru/product/puf-bane-cozy-ginger;4
Кресло Элвит Cozy Emerald;29 990;https://www.divan.ru/product/kreslo-elvit-cozy-emerald;4
Банкетка Вайли Velvet Emerald;10 990;https://www.divan.ru/product/banketka-vajli-velvet-emerald;4
Диван прямой Мелоу Velvet Olive;54 990;https://www.divan.ru/product/divan-pryamoj-melou-velvet-olive;4
Диван модульный Сэндж 2 Textile Light;68 970;https://www.divan.ru/product/modulnyj-divan-sendj-2-textile-light;4
Диван угловой Нордика мини Velvet Yellow;59 990;https://www.divan.ru/product/divan-uglovoj-nordika-mini-velvet-yellow;4
Диван модульный Brera-2 Bucle Beige;139 980;https://www.divan.ru/product/modulnyj-divan-brera-2-bucle-beige;4
Диван модульный Этен Vertical Light;81 960;https://www.divan.ru/product/modulnyj-divan-eten-vertical-light;4
Пуф Динс Velvet Yellow;8990;https://www.divan.ru/product/puf-dins-velvet-yellow;4
Кресло Кальдера Bucle Storm;36 990;https://www.divan.ru/product/kreslo-kaldera-bucle-storm;4
Кресло Кото Cozy Latte;32 990;https://www.divan.ru/product/kreslo-koto-cozy-latte;4
Диван модульный Сэндж 1 Textile Light;76 970;https://www.divan.ru/product/modulnyj-divan-sendj-1-textile-light;4
Пуф Пайпел Bucle Blue;17 990;https://www.divan.ru/product/puf-pajpel-bucle-blue;4
Диван угловой Вильен мини Velvet Terra;62 990;https://www.divan.ru/product/divan-uglovoj-vilen-mini-velvet-terra;4
Диван прямой Порту мини Textile Grafit;24 990;https://www.divan.ru/product/divan-portu-mini-textile-grafit;4
Диван прямой Онте Bucle Mint;98 990;https://www.divan.ru/product/divan-onte-bucle-mint;4
Диван модульный Сэндж 3 Textile Ocean;92 960;https://www.divan.ru/product/modulnyj-divan-sendj-3-textile-ocean;4
Пуф Пайпел Bucle Forest;17 990;https://www.divan.ru/product/puf-pajpel-bucle-forest;4
Банкетка Вайли Bucle Storm;12 990;https://www.divan.ru/product/banketka-vajli-bucle-storm;4
Кресло Оденс Time Pink;20 990;https://www.divan.ru/product/kreslo-odens-velvet-pink;4
Диван угловой Спейс-1 Velvet Olive;72 990;https://www.divan.ru/product/divan-uglovoj-spejs-1-velvet-olive;4
Пуф Поул Bucle Pink;14 990;https://www.divan.ru/product/puf-poul-bucle-pink;4
Диван модульный Brera-7 Bucle Beige;225 970;https://www.divan.ru/product/modulnyj-divan-brera-7-bucle-beige;4
Диван угловой Вильен мини Velvet Plum;62 990;https://www.divan.ru/product/divan-uglovoj-vilen-mini-velvet-plum;4
Диван угловой Беллер Textile Yellow;45 990;https://www.divan.ru/product/divan-uglovoj-beller-textile-yellow;4
Диван угловой Льери Barhat Wet Sand;98 990;https://www.divan.ru/product/divan-uglovoj-leri-barhat-wet-sand;4
Пуф Пайпел Bucle White;17 990;https://www.divan.ru/product/puf-pajpel-bucle-white;4
Диван модульный Сэндж 3 Textile Sky;92 960;https://www.divan.ru/product/modulnyj-divan-sendj-3-textile-sky;4
Кресло Кальдера Barhat Orange;34 990;https://www.divan.ru/product/kreslo-kaldera-barhat-orange;4
Диван прямой Порту мини Textile Beige;24 990;https://www.divan.ru/product/divan-portu-mini-textile-beige;4
Диван модульный Нолан-B 3 Soft Jungle;114 970;https://www.divan.ru/product/modulnyj-divan-nolan-b-3-soft-jungle;5
Кресло Гета Soft Light;36 990;https://www.divan.ru/product/kreslo-geta-soft-light;5
Кресло Мерни Velvet Olive;16 990;https://www.divan.ru/product/kreslo-merni-velvet-olive;5
Диван угловой Ситено Barhat Wet Sand;69 990;https://www.divan.ru/product/divan-uglovoj-siteno-barhat-wet-sand;5
Диван прямой Нумо Мини Textile Light;26 990;https://www.divan.ru/product/divan-numo-mini-textile-light;5
Кресло Кальдера Barhat Light;34 990;https://www.divan.ru/product/kreslo-kaldera-barhat-light;5
